automobile_id,car_model,engine_name,brand_name,length_mm,width_mm,height_mm,kg,search_text,rank
754,BMW M3 CS (F80) 2017-2018,3.0 7AT (460 HP),BMW,4671.0,1877.0,1430.0,1660.0,BMW M3 CS (F80) 2017-2018 3.0 7AT (460 HP),2
755,2016 BMW 3 Series Sedan (F30) LCI,330e 8AT RWD (252 HP),BMW,4633.0,1811.0,1430.0,1660.0,2016 BMW 3 Series Sedan (F30) LCI 330e 8AT RWD (252 HP),2
756,2016 BMW 3 Series Touring (F31) LCI,335d xDrive 8AT AWD (313 HP),BMW,4633.0,1811.0,1430.0,1695.0,2016 BMW 3 Series Touring (F31) LCI 335d xDrive 8AT AWD (313 HP),2
757,2016 BMW X1,xDrive25d 8AT AWD (231 HP),BMW,4440.0,1821.0,1598.0,1575.0,2016 BMW X1 xDrive25d 8AT AWD (231 HP),1
758,2016 BMW 7 Series (G11/G12),M760Li xDrive 8AT AWD (610 HP),BMW,5237.0,1902.0,1478.0,2255.0,2016 BMW 7 Series (G11/G12) M760Li xDrive 8AT AWD (610 HP),2
759,2016 BMW 3 Series Gran Turismo (F34),335d xDrive 8AT AWD (313 HP),BMW,4823.0,1829.0,1509.0,1745.0,2016 BMW 3 Series Gran Turismo (F34) 335d xDrive 8AT AWD (313 HP),2
760,2017 BMW 5 Series,m550i xDrive 8AT AWD (462 HP),BMW,4935.0,1867.0,1478.0,1885.0,2017 BMW 5 Series m550i xDrive 8AT AWD (462 HP),2
761,2015 BMW M4 GTS,3.0L 7AT (500 HP),BMW,4689.0,1869.0,1379.0,1510.0,2015 BMW M4 GTS 3.0L 7AT (500 HP),1
762,2015 BMW 1 Series 3 doors (F21) LCI,M140i xDrive 8AT AWD (340 HP),BMW,4323.0,1765.0,1412.0,1615.0,2015 BMW 1 Series 3 doors (F21) LCI M140i xDrive 8AT AWD (340 HP),2
763,2015 BMW 1 Series 5-door (F20) LCI,M140i xDrive 8AT AWD (340 HP),BMW,4323.0,1765.0,1412.0,1615.0,2015 BMW 1 Series 5-door (F20) LCI M140i xDrive 8AT AWD (340 HP),2
764,BMW 2 Series Gran Tourer (F45) 2015-2018,220d xDrive 8AT AWD (190 HP),BMW,4557.0,1801.0,1608.0,1640.0,BMW 2 Series Gran Tourer (F45) 2015-2018 220d xDrive 8AT AWD (190 HP),2
765,BMW 6 Series Coupe LCI (F13) 2015-2018,650i xDrive 8AT AWD (450 HP),BMW,4895.0,4895.0,1369.0,1855.0,BMW 6 Series Coupe LCI (F13) 2015-2018 650i xDrive 8AT AWD (450 HP),2
766,BMW 6 Series Gran Coupe LCI (F06) 2015-2018,650i xDrive 8AT AWD (450 HP),BMW,5006.0,1895.0,1392.0,1940.0,BMW 6 Series Gran Coupe LCI (F06) 2015-2018 650i xDrive 8AT AWD (450 HP),2
767,BMW 6 Series Convertible LCI (F12) 2015-2018,650i xDrive 8AT AWD (450 HP),BMW,4895.0,1895.0,1364.0,1980.0,BMW 6 Series Convertible LCI (F12) 2015-2018 650i xDrive 8AT AWD (450 HP),2
768,BMW M2 (F87) 2015-2018,3.0L 7AT RWD (370 HP),BMW,4468.0,1854.0,1410.0,1570.0,BMW M2 (F87) 2015-2018 3.0L 7AT RWD (370 HP),1
769,BMW X5 (F15) 2014-2018,xDrive35d 8AT AWD (259 HP),BMW,4887.0,1938.0,1763.0,2355.0,BMW X5 (F15) 2014-2018 xDrive35d 8AT AWD (259 HP),2
770,BMW i8 (I12) 2014-2018,1.5L 6AT (362 HP),BMW,4689.0,1943.0,1293.0,1560.0,BMW i8 (I12) 2014-2018 1.5L 6AT (362 HP),1
771,2014 BMW 4 Series Convertible (F33),435d xDrive 8AT AWD (313 HP),BMW,4638.0,1826.0,1400.0,1850.0,2014 BMW 4 Series Convertible (F33) 435d xDrive 8AT AWD (313 HP),2
772,BMW M3 (F80) 2014-2018,3.0L 7AT (431 HP),BMW,4681.0,1877.0,1425.0,1560.0,BMW M3 (F80) 2014-2018 3.0L 7AT (431 HP),1
773,BMW M4 Coupe (F82) 2014-2020,Competition 3.0L 7AT RWD (431 HP),BMW,4681.0,1869.0,1382.0,1540.0,BMW M4 Coupe (F82) 2014-2020 Competition 3.0L 7AT RWD (431 HP),1
774,BMW 4 Series Gran Coupe (F36) 2014-2018,435i xDrive 8AT AWD (306 HP),BMW,4638.0,1826.0,1389.0,1715.0,BMW 4 Series Gran Coupe (F36) 2014-2018 435i xDrive 8AT AWD (306 HP),2
775,BMW X3 (F25) 2014-2017,xDrive3.5d 8AT AWD (313 HP),BMW,4648.0,1880.0,1661.0,1925.0,BMW X3 (F25) 2014-2017 xDrive3.5d 8AT AWD (313 HP),2
776,BMW 2 Series Active Tourer (F45) 2014-2018,225xe 6AT AWD (224 HP),BMW,4341.0,1801.0,1554.0,1660.0,BMW 2 Series Active Tourer (F45) 2014-2018 225xe 6AT AWD (224 HP),2
777,2014 BMW X4,M40i 8AT (360 HP),BMW,4671.0,1882.0,1623.0,1915.0,2014 BMW X4 M40i 8AT (360 HP),2
778,2014 BMW M4 Convertible,3.0L 7AT RWD (450 HP),BMW,4671.0,1869.0,1387.0,1890.0,2014 BMW M4 Convertible 3.0L 7AT RWD (450 HP),2
779,2015 BMW X6,M50d 8AT AWD (381 HP),BMW,4910.0,1989.0,1702.0,2185.0,2015 BMW X6 M50d 8AT AWD (381 HP),2
780,BMW 2 Series Convertible 2014-2017,M240i xDrive 8AT (340 HP),BMW,4455.0,1773.0,1402.0,1755.0,BMW 2 Series Convertible 2014-2017 M240i xDrive 8AT (340 HP),2
781,2014 BMW X6 M,4.4L xDrive V8 8AT AWD (575 HP),BMW,4910.0,1989.0,1689.0,2265.0,2014 BMW X6 M 4.4L xDrive V8 8AT AWD (575 HP),2
782,BMW X5 M (F85) 2014-2018,4.4L xDrive V8 8AT AWD (575 HP),BMW,4879.0,1984.0,1755.0,2275.0,BMW X5 M (F85) 2014-2018 4.4L xDrive V8 8AT AWD (575 HP),2
783,BMW M6 Coupe LCI 2014-2018,4.4L V8 7AT RWD (560 HP),BMW,4897.0,1900.0,1374.0,1850.0,BMW M6 Coupe LCI 2014-2018 4.4L V8 7AT RWD (560 HP),2
784,BMW M6 Cabrio LCI 2014-2018,4.4L V8 7AT (560 HP),BMW,4897.0,1900.0,1369.0,1980.0,BMW M6 Cabrio LCI 2014-2018 4.4L V8 7AT (560 HP),2
785,BMW M6 Gran Coupe (F06) 2013-2018,4.4L V8 (560 HP),BMW,5011.0,1900.0,1392.0,1875.0,BMW M6 Gran Coupe (F06) 2013-2018 4.4L V8 (560 HP),2
786,2013 BMW 3 Series Gran Turismo,335d xDrive 8AT AWD (313 HP),BMW,4823.0,1829.0,1509.0,1820.0,2013 BMW 3 Series Gran Turismo 335d xDrive 8AT AWD (313 HP),2
